Date,Product,Produced,Stock
2025-09-09,Widget D,37,449
2025-01-12,Widget C,30,372
2025-08-22,Widget B,37,489
2025-06-11,Widget C,78,471
2025-03-20,Widget D,42,301
2025-03-10,Widget D,94,57
2025-06-22,Widget C,58,203
2025-08-26,Widget E,67,230
2025-07-04,Widget E,52,167
2025-11-06,Widget A,64,364
2025-08-13,Widget C,30,356
2025-12-20,Widget D,36,274
2025-11-25,Widget E,78,189
2025-01-09,Widget E,87,448
2025-11-14,Widget A,44,310
2025-09-18,Widget D,90,64
2025-08-26,Widget C,51,495
2025-12-06,Widget B,28,127
2025-07-30,Widget C,35,225
2025-09-20,Widget A,24,332
2025-07-03,Widget B,58,94
2025-07-10,Widget C,81,379
2025-05-03,Widget B,56,245
2025-04-20,Widget B,33,133
2025-04-21,Widget E,27,349
2025-04-04,Widget E,38,98
2025-12-05,Widget C,30,234
2025-07-28,Widget C,83,498
2025-02-12,Widget C,39,80
2025-01-10,Widget A,24,367
2025-11-30,Widget C,39,112
2025-08-12,Widget D,28,295
2025-05-02,Widget A,74,487
2025-02-13,Widget C,59,498
2025-05-17,Widget B,59,415
2025-06-10,Widget D,22,124
2025-12-13,Widget A,41,372
2025-12-04,Widget B,75,82
2025-09-29,Widget A,61,75
2025-05-08,Widget E,54,104
2025-10-22,Widget C,61,60
2025-12-25,Widget E,32,387
2025-04-15,Widget C,96,424
2025-07-21,Widget C,22,290
2025-01-29,Widget E,49,399
2025-09-21,Widget B,45,316
2025-07-28,Widget D,97,442
2025-03-31,Widget D,79,73
2025-09-23,Widget E,86,386
2025-07-17,Widget D,91,330
2025-10-02,Widget D,95,64
2025-01-25,Widget A,71,358
2025-07-31,Widget C,95,462
2025-11-08,Widget A,41,483
2025-09-22,Widget E,50,254
2025-04-08,Widget A,97,128
2025-07-26,Widget B,85,165
2025-12-07,Widget C,64,438
2025-12-12,Widget C,21,291
2025-07-31,Widget C,32,436
2025-07-06,Widget A,27,438
2025-12-21,Widget C,84,281
2025-10-08,Widget B,46,433
2025-09-25,Widget C,39,336
2025-04-20,Widget E,54,137
2025-02-18,Widget A,75,255
2025-09-24,Widget D,63,342
2025-09-19,Widget B,63,252
2025-08-27,Widget B,57,133
2025-07-09,Widget B,79,410
2025-11-26,Widget E,38,66
2025-05-17,Widget D,21,273
2025-01-15,Widget A,74,459
2025-12-01,Widget C,53,455
2025-01-07,Widget E,21,254
2025-03-05,Widget A,51,290
2025-04-09,Widget C,69,321
2025-06-02,Widget B,42,441
2025-11-28,Widget C,67,452
2025-09-22,Widget B,48,492
2025-09-28,Widget D,54,428
2025-12-30,Widget C,94,386
2025-05-13,Widget C,46,246
2025-11-24,Widget C,100,463
2025-04-08,Widget B,51,188
2025-10-11,Widget C,70,188
2025-07-12,Widget E,25,353
2025-07-08,Widget D,64,325
2025-10-11,Widget C,72,69
2025-06-20,Widget E,98,201
2025-04-18,Widget E,23,218
2025-07-12,Widget A,27,484
2025-06-03,Widget B,51,103
2025-03-19,Widget A,34,173
2025-06-18,Widget E,51,201
2025-04-24,Widget E,99,199
2025-05-16,Widget D,23,299
2025-03-28,Widget E,78,486
2025-11-24,Widget B,28,62
2025-05-15,Widget C,78,213
2025-02-19,Widget B,83,216
2025-11-25,Widget A,72,255
2025-07-12,Widget E,83,490
2025-02-12,Widget E,76,198
2025-05-23,Widget B,45,306
2025-10-05,Widget B,93,106
2025-01-26,Widget B,93,465
2025-09-15,Widget A,46,398
2025-01-16,Widget D,38,300
2025-03-27,Widget C,45,364
2025-08-27,Widget B,70,296
2025-10-10,Widget B,91,340
2025-10-02,Widget E,52,242
2025-11-08,Widget E,23,357
2025-10-25,Widget A,41,119
2025-01-08,Widget B,87,83
2025-08-17,Widget E,58,148
2025-03-29,Widget E,44,427
2025-07-28,Widget B,74,82
2025-06-11,Widget A,72,471
2025-04-13,Widget C,47,405
2025-07-29,Widget A,69,75
2025-06-14,Widget B,38,323
2025-04-30,Widget B,75,388
2025-03-18,Widget D,87,103
2025-01-16,Widget C,67,420
2025-04-02,Widget D,65,91
2025-12-08,Widget C,67,101
2025-01-24,Widget C,38,169
2025-03-20,Widget C,26,147
2025-02-01,Widget B,92,114
2025-02-24,Widget D,48,334
2025-12-16,Widget A,58,60
2025-05-25,Widget E,32,466
2025-04-24,Widget B,59,128
2025-05-07,Widget B,48,83
2025-02-12,Widget B,52,321
2025-10-19,Widget E,57,104
2025-07-01,Widget D,78,147
2025-04-15,Widget E,92,467
2025-06-12,Widget E,49,299
2025-08-19,Widget D,78,465
2025-02-02,Widget E,36,319
2025-11-28,Widget D,81,188
2025-07-29,Widget B,38,263
2025-04-22,Widget A,87,147
2025-07-25,Widget E,47,216
2025-03-16,Widget C,65,167
2025-07-25,Widget C,90,306
2025-07-07,Widget B,25,202
2025-05-22,Widget C,49,451
2025-06-27,Widget B,58,103
2025-07-23,Widget A,78,232
2025-08-26,Widget C,27,468
2025-03-12,Widget D,44,444
2025-10-09,Widget D,63,357
2025-05-22,Widget B,27,259
2025-02-06,Widget C,22,441
2025-01-28,Widget A,54,84
2025-08-14,Widget C,25,327
2025-07-04,Widget C,78,184
2025-01-05,Widget D,30,401
2025-01-08,Widget A,96,80
2025-09-29,Widget D,74,380
2025-05-28,Widget C,45,453
2025-03-28,Widget A,59,481
2025-10-08,Widget B,40,137
2025-09-05,Widget A,85,83
2025-01-14,Widget B,93,364
2025-01-10,Widget D,53,205
2025-01-31,Widget D,86,190
2025-11-22,Widget A,64,92
2025-07-23,Widget B,33,207
2025-10-09,Widget E,45,477
2025-07-14,Widget E,42,403
2025-08-29,Widget C,100,465
2025-08-09,Widget B,41,102
2025-09-20,Widget B,40,404
2025-02-17,Widget B,56,344
2025-09-05,Widget C,39,274
2025-05-10,Widget E,61,347
2025-02-10,Widget A,74,239
2025-07-08,Widget B,45,286
2025-10-04,Widget A,99,378
2025-06-14,Widget B,62,281
2025-06-11,Widget A,59,478
2025-07-26,Widget C,80,292
2025-09-01,Widget A,64,175
2025-12-12,Widget C,37,150
2025-10-07,Widget D,57,180
2025-10-07,Widget C,69,179
2025-08-16,Widget C,79,154
2025-12-18,Widget E,96,83
2025-08-17,Widget B,80,133
2025-01-22,Widget B,78,336
2025-04-07,Widget D,62,204
2025-08-17,Widget A,27,337
2025-10-20,Widget D,65,486
2025-12-06,Widget A,79,244
2025-11-27,Widget C,20,246
2025-08-27,Widget E,64,393
2025-06-22,Widget E,96,210
2025-02-06,Widget D,52,372
2025-01-02,Widget C,36,61
2025-08-29,Widget B,53,223
2025-09-13,Widget C,79,165
2025-02-15,Widget A,51,211
2025-08-14,Widget E,89,211
2025-05-30,Widget E,37,237
2025-09-06,Widget E,39,252
2025-01-20,Widget B,89,210
2025-04-16,Widget A,72,184
2025-06-19,Widget C,22,462
2025-12-22,Widget B,95,326
2025-11-23,Widget A,92,288
2025-10-21,Widget E,29,379
2025-01-13,Widget C,36,449
2025-10-18,Widget D,74,268
2025-02-16,Widget D,20,429
2025-07-14,Widget B,70,314
2025-05-14,Widget D,79,155
2025-05-17,Widget A,96,328
2025-12-21,Widget D,66,354
2025-12-09,Widget C,98,387
2025-12-05,Widget B,48,450
2025-10-25,Widget C,36,441
2025-02-25,Widget A,41,126
2025-04-30,Widget D,79,360
2025-08-23,Widget E,87,348
2025-05-16,Widget E,53,476
2025-05-30,Widget C,87,322
2025-06-24,Widget B,54,102
2025-12-20,Widget B,95,300
2025-07-23,Widget C,32,163
2025-10-03,Widget B,36,348
2025-08-08,Widget B,65,128
2025-10-25,Widget E,52,195
2025-04-24,Widget D,77,471
2025-03-24,Widget A,26,344
2025-09-11,Widget D,47,438
2025-09-13,Widget D,49,465
2025-11-26,Widget E,63,136
2025-01-05,Widget D,56,177
2025-09-30,Widget B,90,327
2025-08-13,Widget B,87,344
2025-11-20,Widget E,96,356
2025-10-08,Widget A,58,498
2025-12-22,Widget A,77,147
2025-06-22,Widget C,22,306
2025-03-18,Widget A,53,311
2025-02-11,Widget C,58,103
2025-08-18,Widget D,41,380
2025-02-23,Widget D,34,474
2025-12-11,Widget C,44,179
2025-01-03,Widget B,42,182
2025-06-05,Widget D,45,493
2025-04-23,Widget D,23,432
2025-06-06,Widget C,23,253
2025-01-18,Widget C,64,115
2025-10-12,Widget A,91,402
2025-03-18,Widget D,22,230
2025-04-27,Widget A,48,176
2025-08-25,Widget D,28,476
2025-06-12,Widget C,72,402
2025-03-08,Widget D,82,452
2025-11-15,Widget A,73,306
2025-06-14,Widget A,63,433
2025-05-23,Widget E,44,320
2025-02-19,Widget E,90,398
2025-11-08,Widget B,62,223
2025-07-01,Widget B,94,207
2025-12-27,Widget A,44,275
2025-06-27,Widget D,80,372
2025-03-03,Widget A,29,367
2025-02-23,Widget B,66,260
2025-12-14,Widget D,71,219
2025-09-19,Widget B,38,103
2025-04-03,Widget C,29,327
2025-08-20,Widget D,47,377
2025-11-29,Widget D,84,160
2025-01-22,Widget E,30,92
2025-12-23,Widget E,55,149
2025-05-03,Widget C,70,389
2025-07-15,Widget B,90,406
2025-08-14,Widget D,79,301
2025-04-10,Widget D,72,60
2025-10-06,Widget A,49,436
2025-05-22,Widget E,28,390
2025-06-13,Widget C,55,75
2025-11-28,Widget E,42,318
2025-06-25,Widget E,34,365
2025-05-11,Widget D,73,491
2025-01-03,Widget C,62,103
2025-09-10,Widget A,73,153
2025-11-09,Widget A,98,76
2025-05-03,Widget E,28,149
2025-04-08,Widget E,55,363
2025-01-02,Widget C,34,343
2025-12-27,Widget A,40,437
2025-05-30,Widget B,22,286
2025-09-30,Widget E,75,108
2025-01-29,Widget B,56,133
2025-01-20,Widget D,70,111
2025-02-12,Widget B,47,486
2025-05-19,Widget B,83,143
2025-08-30,Widget A,50,50
2025-12-22,Widget B,33,239
2025-12-20,Widget A,76,249
2025-08-26,Widget C,32,411
2025-03-10,Widget B,53,393
2025-05-28,Widget C,61,280
2025-04-07,Widget E,26,158
2025-08-28,Widget C,46,323
2025-09-10,Widget B,74,209
2025-07-14,Widget B,92,208
2025-10-31,Widget E,62,163
2025-03-22,Widget B,25,416
2025-01-08,Widget E,33,206
2025-03-15,Widget E,25,152
2025-08-02,Widget E,27,348
2025-08-11,Widget A,55,390
2025-06-19,Widget A,70,142
2025-11-10,Widget C,48,339
2025-12-10,Widget E,82,177
2025-11-29,Widget C,96,334
2025-09-14,Widget B,70,326
2025-01-01,Widget C,50,230
2025-02-02,Widget D,64,177
2025-12-24,Widget C,98,187
2025-03-29,Widget C,80,241
2025-08-20,Widget D,91,116
2025-07-15,Widget C,48,86
2025-11-01,Widget E,79,461
2025-08-01,Widget D,80,379
2025-06-23,Widget C,29,449
2025-02-09,Widget C,32,170
2025-08-07,Widget E,72,415
2025-08-18,Widget A,54,268
2025-10-18,Widget B,90,286
2025-12-21,Widget C,60,204
2025-12-27,Widget B,48,477
2025-06-01,Widget C,59,269
2025-10-13,Widget A,47,133
2025-05-05,Widget C,43,239
2025-03-06,Widget C,63,328
2025-04-10,Widget B,22,106
2025-07-06,Widget C,95,278
2025-03-23,Widget B,45,248
2025-01-08,Widget A,75,466
2025-02-01,Widget B,21,407
2025-08-01,Widget B,82,371
2025-05-09,Widget D,94,370
2025-06-16,Widget B,30,155
2025-06-26,Widget E,95,270
2025-06-08,Widget C,62,217
2025-04-11,Widget B,96,184
2025-08-28,Widget A,38,237
2025-12-03,Widget C,49,235
2025-07-02,Widget E,63,126
2025-09-09,Widget C,50,314
2025-11-09,Widget B,28,267
2025-08-14,Widget A,85,353
2025-02-24,Widget D,99,107
2025-06-26,Widget A,45,190
2025-03-15,Widget C,32,261
2025-04-26,Widget A,65,494
2025-03-09,Widget B,80,377
2025-12-09,Widget D,26,398
2025-07-25,Widget C,28,150
2025-05-21,Widget E,60,145
2025-01-12,Widget E,45,66
2025-02-08,Widget B,43,322
2025-01-17,Widget B,26,295
2025-05-05,Widget C,62,113
2025-03-16,Widget C,84,76
2025-02-18,Widget A,57,146
2025-10-05,Widget A,63,346
2025-06-04,Widget B,54,465
2025-10-11,Widget E,99,99
2025-01-28,Widget C,56,439
2025-11-16,Widget C,70,135
2025-11-09,Widget E,86,255
2025-01-08,Widget C,50,196
2025-06-11,Widget C,22,401
2025-01-25,Widget B,37,155
2025-06-02,Widget D,62,151
2025-02-27,Widget A,96,175
2025-03-23,Widget C,95,236
2025-02-28,Widget D,52,483
2025-03-24,Widget D,87,254
2025-04-27,Widget E,56,430
2025-12-05,Widget D,52,382
2025-03-16,Widget C,98,231
2025-06-28,Widget D,62,133
2025-07-26,Widget D,43,299
2025-10-11,Widget A,72,405
2025-06-29,Widget B,98,403
2025-02-07,Widget C,81,355
2025-03-11,Widget B,24,261
2025-01-28,Widget C,33,379
2025-09-20,Widget D,87,428
2025-03-14,Widget A,55,137
2025-06-10,Widget B,79,427
2025-03-15,Widget C,84,271
2025-05-09,Widget A,81,88
2025-09-19,Widget A,20,104
2025-02-05,Widget C,52,413
2025-11-28,Widget E,50,243
2025-05-12,Widget E,99,133
2025-07-29,Widget C,34,189
2025-03-19,Widget E,94,372
2025-12-19,Widget E,71,254
2025-11-30,Widget D,46,318
2025-10-07,Widget E,63,393
2025-03-27,Widget B,22,394
2025-06-05,Widget D,96,478
2025-01-13,Widget B,79,76
2025-10-27,Widget A,23,119
2025-08-21,Widget A,34,329
2025-08-17,Widget A,76,89
2025-09-29,Widget D,42,407
2025-09-26,Widget E,64,254
2025-08-12,Widget B,40,473
2025-10-07,Widget E,99,146
2025-06-25,Widget D,43,174
2025-04-14,Widget E,89,408
2025-04-17,Widget A,99,277
2025-04-13,Widget E,24,397
2025-05-19,Widget C,78,490
2025-04-23,Widget C,35,212
2025-10-18,Widget A,47,339
2025-05-13,Widget B,39,427
2025-08-10,Widget C,76,424
2025-09-25,Widget A,91,328
2025-01-27,Widget C,26,52
2025-09-24,Widget B,25,421
2025-05-13,Widget E,45,220
2025-12-15,Widget D,98,413
2025-01-13,Widget E,62,130
2025-10-08,Widget B,80,419
2025-10-05,Widget A,87,202
2025-05-19,Widget B,97,431
2025-09-30,Widget C,96,487
2025-02-02,Widget C,76,162
2025-10-17,Widget E,55,371
2025-08-04,Widget A,36,242
2025-01-31,Widget A,30,162
2025-01-13,Widget B,39,237
2025-11-13,Widget B,62,138
2025-11-04,Widget B,92,400
2025-06-28,Widget C,95,228
2025-01-31,Widget B,60,490
2025-10-20,Widget B,32,190
2025-02-02,Widget D,37,185
2025-03-14,Widget A,53,248
2025-12-14,Widget B,40,174
2025-09-28,Widget C,88,490
2025-05-27,Widget B,30,351
2025-10-21,Widget D,44,70
2025-01-31,Widget C,29,367
2025-04-30,Widget B,21,180
2025-03-22,Widget D,100,50
2025-02-11,Widget E,34,399
2025-12-12,Widget C,95,162
2025-09-04,Widget B,97,91
2025-02-10,Widget D,58,140
2025-03-21,Widget C,87,148
2025-07-05,Widget A,27,391
2025-12-06,Widget D,82,89
2025-03-22,Widget D,93,411
2025-08-06,Widget E,86,185
2025-08-20,Widget D,59,59
2025-08-26,Widget E,59,151
2025-12-16,Widget E,78,168
2025-07-30,Widget A,77,73
2025-11-12,Widget B,49,384
2025-06-21,Widget E,42,179
2025-10-20,Widget E,53,71
2025-09-23,Widget A,61,311
2025-11-28,Widget E,24,105
2025-04-24,Widget D,64,478
2025-07-29,Widget A,61,330
2025-01-07,Widget E,86,101
2025-12-20,Widget A,99,318
2025-12-28,Widget E,89,331
2025-07-25,Widget C,89,68
2025-03-30,Widget E,29,258
2025-10-16,Widget E,99,206
2025-04-22,Widget D,37,231
2025-12-09,Widget D,93,293
2025-06-30,Widget B,96,433
2025-07-07,Widget A,64,499
2025-01-04,Widget C,95,305
2025-03-06,Widget E,44,255
2025-10-01,Widget D,53,352
2025-10-21,Widget B,32,442
2025-03-01,Widget A,83,330
2025-04-07,Widget D,94,412
2025-11-27,Widget A,38,132
2025-11-16,Widget A,87,345
2025-07-06,Widget B,43,324
2025-11-30,Widget C,90,362
2025-09-28,Widget E,100,108
2025-03-31,Widget E,80,450
2025-06-13,Widget B,30,287
2025-06-28,Widget E,34,458
2025-11-01,Widget D,85,461
2025-02-16,Widget A,54,142
2025-06-16,Widget E,63,173
2025-06-28,Widget A,76,334
2025-06-18,Widget E,69,204
2025-04-16,Widget C,87,386
2025-02-04,Widget A,55,331
2025-11-11,Widget A,34,398
2025-04-15,Widget D,89,281
2025-08-10,Widget A,74,258
2025-10-03,Widget D,62,194
2025-05-03,Widget E,86,319
2025-11-03,Widget C,99,108
2025-05-15,Widget A,78,210
2025-05-12,Widget C,48,378
2025-07-18,Widget C,50,194
2025-07-08,Widget B,45,274
2025-08-30,Widget A,44,209
2025-11-20,Widget C,96,244
2025-12-08,Widget B,24,311
2025-04-12,Widget C,29,268
2025-12-26,Widget B,65,258
2025-01-29,Widget D,93,66
2025-07-24,Widget E,60,484
2025-01-23,Widget E,35,366
2025-08-02,Widget C,79,209
2025-08-01,Widget C,83,377
2025-02-20,Widget B,92,329
2025-05-31,Widget C,64,285
2025-07-18,Widget B,42,293
2025-03-09,Widget A,66,415
2025-10-03,Widget D,57,362
2025-10-02,Widget D,82,167
2025-11-16,Widget B,27,276
2025-08-26,Widget C,20,453
2025-04-12,Widget D,77,397
2025-05-16,Widget A,75,397
2025-10-14,Widget C,33,143
2025-01-15,Widget A,37,246
2025-05-18,Widget A,85,72
2025-07-19,Widget A,37,203
2025-09-12,Widget D,54,309
2025-05-17,Widget D,70,122
2025-04-10,Widget C,23,251
2025-05-21,Widget E,46,438
2025-02-25,Widget B,36,244
2025-10-31,Widget E,30,382
2025-08-22,Widget A,68,459
2025-08-19,Widget A,31,297
2025-11-13,Widget E,62,479
2025-11-28,Widget E,56,70
2025-05-20,Widget A,38,291
2025-09-09,Widget B,31,477
2025-09-26,Widget C,34,407
2025-06-28,Widget A,73,292
2025-11-05,Widget B,56,492
2025-01-27,Widget C,75,438
2025-12-05,Widget A,25,430
2025-03-03,Widget C,92,395
2025-10-12,Widget D,71,307
2025-04-15,Widget E,53,149
2025-09-18,Widget B,36,301
2025-08-13,Widget B,60,269
2025-03-25,Widget C,95,477
2025-11-12,Widget E,64,74
2025-07-28,Widget D,48,240
2025-09-29,Widget A,33,82
2025-01-07,Widget C,92,487
2025-09-09,Widget B,95,75
2025-06-06,Widget A,30,416
2025-05-15,Widget D,57,59
2025-06-13,Widget E,38,336
2025-03-09,Widget A,64,479
2025-05-06,Widget D,22,299
2025-12-20,Widget B,26,273
2025-12-26,Widget B,89,188
2025-10-12,Widget D,58,326
2025-08-19,Widget E,100,160
2025-01-11,Widget C,74,303
2025-03-04,Widget C,67,352
2025-09-08,Widget A,51,350
2025-10-11,Widget A,57,185
2025-02-14,Widget C,80,70
2025-07-11,Widget B,51,225
2025-06-07,Widget C,92,336
2025-01-08,Widget D,58,494
2025-12-07,Widget D,85,369
2025-02-19,Widget D,24,160
2025-11-17,Widget D,77,483
2025-04-02,Widget B,21,196
2025-03-06,Widget A,68,372
2025-02-28,Widget D,30,106
2025-04-23,Widget E,42,156
2025-08-06,Widget B,85,438
2025-02-05,Widget D,69,52
2025-06-10,Widget D,23,181
2025-09-08,Widget D,54,491
2025-07-27,Widget E,62,156
2025-03-11,Widget A,90,382
2025-03-05,Widget A,44,75
2025-08-11,Widget C,80,189
2025-02-09,Widget B,40,284
2025-12-22,Widget C,31,262
2025-06-13,Widget A,27,260
2025-02-25,Widget C,61,85
2025-02-04,Widget D,35,202
2025-01-15,Widget E,84,324
2025-05-21,Widget D,29,135
2025-08-07,Widget C,61,299
2025-06-12,Widget A,91,277
2025-09-30,Widget A,50,360
2025-10-05,Widget B,82,414
2025-08-28,Widget E,41,275
2025-04-10,Widget D,69,487
2025-12-06,Widget E,32,99
2025-07-26,Widget E,99,451
2025-02-04,Widget A,85,433
2025-03-06,Widget E,43,430
2025-07-02,Widget A,54,470
2025-09-27,Widget D,89,187
2025-09-22,Widget D,32,419
2025-04-30,Widget B,65,292
2025-07-26,Widget C,42,334
2025-07-20,Widget A,36,199
2025-03-11,Widget A,87,250
2025-06-16,Widget C,69,60
2025-09-04,Widget B,38,67
2025-03-09,Widget C,73,373
2025-04-02,Widget B,86,426
2025-02-12,Widget B,33,307
2025-05-14,Widget D,96,267
2025-12-25,Widget D,96,156
2025-11-13,Widget E,83,352
2025-09-17,Widget A,37,198
2025-06-13,Widget C,88,204
2025-04-15,Widget A,86,203
2025-06-05,Widget E,63,95
2025-04-10,Widget E,99,241
2025-07-19,Widget C,51,223
2025-07-11,Widget B,84,439
2025-05-30,Widget A,82,347
2025-07-03,Widget B,49,271
2025-06-07,Widget B,68,432
2025-04-06,Widget A,25,93
2025-11-03,Widget D,81,171
2025-10-19,Widget A,29,100
2025-12-11,Widget C,93,76
2025-10-11,Widget C,35,483
2025-07-15,Widget B,93,130
2025-08-29,Widget B,71,188
2025-02-13,Widget B,88,235
2025-12-21,Widget B,32,380
2025-05-29,Widget A,91,428
2025-09-03,Widget D,55,114
2025-10-01,Widget E,76,124
2025-08-02,Widget C,64,463
2025-05-26,Widget E,62,359
2025-06-11,Widget C,45,328
2025-01-03,Widget D,30,180
2025-11-28,Widget B,95,55
2025-11-21,Widget E,91,297
2025-06-26,Widget B,97,56
2025-06-25,Widget A,36,226
2025-08-24,Widget B,51,492
2025-08-10,Widget C,93,333
2025-09-09,Widget C,100,229
2025-11-24,Widget D,71,150
2025-04-24,Widget B,89,80
2025-11-12,Widget D,41,76
2025-01-01,Widget E,26,267
2025-07-31,Widget A,94,377
2025-09-17,Widget E,88,308
2025-11-01,Widget C,58,283
2025-10-03,Widget B,37,277
2025-01-11,Widget E,46,101
2025-06-13,Widget B,63,452
2025-02-11,Widget D,61,67
2025-04-02,Widget C,99,165
2025-06-03,Widget C,67,114
2025-01-18,Widget E,65,383
2025-08-02,Widget D,47,56
2025-05-23,Widget D,87,337
2025-09-12,Widget C,45,108
2025-06-06,Widget A,77,168
2025-12-31,Widget D,74,447
2025-08-19,Widget C,66,460
2025-09-25,Widget B,49,450
2025-09-26,Widget B,23,193
2025-09-14,Widget E,99,255
2025-04-18,Widget B,38,456
2025-03-24,Widget A,88,249
2025-03-09,Widget E,29,100
2025-05-29,Widget E,63,101
2025-09-02,Widget B,52,201
2025-09-13,Widget E,95,480
2025-03-20,Widget D,47,327
2025-11-13,Widget A,44,308
2025-08-03,Widget C,34,108
2025-08-14,Widget B,39,139
2025-07-29,Widget B,80,311
2025-03-01,Widget C,94,341
2025-01-14,Widget B,97,490
2025-05-11,Widget E,45,302
2025-04-07,Widget A,81,187
2025-04-03,Widget B,83,449
2025-04-01,Widget D,86,108
2025-01-30,Widget C,74,183
2025-06-15,Widget B,91,100
2025-10-30,Widget C,51,459
2025-12-21,Widget C,22,302
2025-05-04,Widget E,38,299
2025-10-02,Widget B,32,97
2025-10-21,Widget D,57,57
2025-10-14,Widget E,34,465
2025-08-19,Widget A,88,131
2025-12-17,Widget E,23,69
2025-09-07,Widget A,96,160
2025-10-21,Widget A,75,398
2025-06-30,Widget D,46,326
2025-11-30,Widget A,92,64
2025-11-26,Widget E,45,257
2025-07-16,Widget C,60,371
2025-05-07,Widget E,72,132
2025-06-07,Widget E,31,95
2025-03-30,Widget D,99,309
2025-08-20,Widget D,52,370
2025-11-06,Widget D,57,474
2025-08-25,Widget C,48,348
2025-09-21,Widget E,47,147
2025-06-29,Widget D,63,420
2025-10-11,Widget A,40,136
2025-07-03,Widget E,80,152
2025-02-13,Widget A,76,312
2025-09-18,Widget E,73,104
2025-07-12,Widget B,62,167
2025-08-22,Widget A,30,94
2025-08-28,Widget B,22,177
2025-09-03,Widget D,30,312
2025-10-04,Widget D,91,383
2025-09-27,Widget C,63,117
2025-01-21,Widget C,34,252
2025-10-24,Widget A,30,341
2025-07-05,Widget A,62,432
2025-04-15,Widget E,63,236
2025-05-26,Widget E,63,175
2025-04-27,Widget C,82,178
2025-03-25,Widget E,33,375
2025-05-15,Widget C,56,289
2025-12-18,Widget C,32,146
2025-11-16,Widget A,52,383
2025-05-29,Widget C,37,256
2025-10-02,Widget B,40,338
2025-05-24,Widget D,77,92
2025-11-10,Widget A,84,349
2025-01-19,Widget B,81,264
2025-06-03,Widget B,53,74
2025-05-14,Widget B,88,363
2025-03-23,Widget D,81,204
2025-07-06,Widget C,64,450
2025-10-24,Widget C,80,274
2025-08-20,Widget B,32,98
2025-09-10,Widget C,94,97
2025-05-06,Widget E,91,389
2025-07-30,Widget A,47,479
2025-01-15,Widget E,42,384
2025-06-02,Widget C,33,349
2025-04-02,Widget E,51,197
