Date,Sector,GrowthRate (%),AvgPrice
2025-12-31,Toys,0.54,51
2025-09-20,Furniture,2.21,148
2025-12-18,Home Appliances,0.61,65
2025-09-27,Electronics,2.98,190
2025-05-08,Home Appliances,1.74,145
2025-12-07,Toys,3.08,65
2025-07-24,Home Appliances,3.84,142
2025-06-16,Electronics,2.29,117
2025-03-31,Furniture,0.99,63
2025-09-28,Home Appliances,3.73,157
2025-01-14,Home Appliances,4.91,97
2025-06-24,Home Appliances,4.73,97
2025-01-17,Toys,1.01,135
2025-06-16,Electronics,2.97,192
2025-01-10,Home Appliances,2.28,130
2025-07-26,Home Appliances,1.26,106
2025-11-24,Toys,1.79,65
2025-09-19,Toys,1.0,134
2025-04-27,Toys,2.4,177
2025-08-01,Toys,4.85,85
2025-09-01,Toys,3.91,189
2025-12-13,Toys,0.76,180
2025-01-28,Furniture,3.84,60
2025-05-24,Home Appliances,3.1,149
2025-07-21,Home Appliances,2.46,57
2025-12-23,Electronics,2.16,65
2025-04-25,Electronics,1.77,63
2025-10-07,Electronics,0.93,188
2025-09-13,Home Appliances,4.48,157
2025-06-13,Home Appliances,4.76,119
2025-09-21,Home Appliances,4.96,138
2025-04-23,Electronics,4.73,68
2025-02-05,Furniture,3.58,133
2025-03-14,Home Appliances,3.12,134
2025-12-15,Home Appliances,2.53,86
2025-06-17,Furniture,4.11,116
2025-05-04,Home Appliances,3.71,172
2025-07-08,Home Appliances,1.64,163
2025-12-23,Furniture,2.37,176
2025-09-09,Toys,0.5,82
2025-02-27,Home Appliances,1.36,67
2025-10-21,Electronics,3.0,197
2025-12-06,Electronics,3.05,95
2025-02-15,Home Appliances,3.42,60
2025-06-03,Home Appliances,2.95,162
2025-08-24,Toys,2.86,108
2025-01-15,Home Appliances,2.03,55
2025-09-17,Home Appliances,2.57,93
2025-07-09,Electronics,3.01,164
2025-12-27,Furniture,4.04,148
2025-08-12,Toys,4.51,141
2025-10-19,Furniture,4.32,153
2025-04-03,Home Appliances,2.1,72
2025-09-28,Home Appliances,2.54,129
2025-10-16,Home Appliances,2.95,160
2025-02-22,Electronics,0.54,113
2025-03-12,Furniture,0.56,155
2025-06-28,Home Appliances,1.03,120
2025-02-01,Furniture,4.62,156
2025-04-11,Furniture,3.61,139
2025-06-08,Toys,4.24,147
2025-06-30,Furniture,0.79,65
2025-08-30,Toys,3.38,183
2025-06-08,Toys,2.13,189
2025-07-03,Electronics,3.03,57
2025-07-27,Home Appliances,2.25,143
2025-09-12,Toys,2.68,68
2025-01-03,Furniture,1.74,65
2025-07-09,Home Appliances,1.29,169
2025-08-09,Home Appliances,1.82,53
2025-01-29,Electronics,2.81,196
2025-10-13,Electronics,3.3,134
2025-02-14,Electronics,1.08,157
2025-07-18,Electronics,2.5,179
2025-06-24,Toys,3.55,126
2025-02-11,Electronics,2.51,73
2025-02-26,Toys,2.84,105
2025-07-16,Home Appliances,3.99,156
2025-04-10,Home Appliances,3.36,105
2025-11-14,Toys,2.48,52
2025-06-09,Home Appliances,4.94,89
2025-12-20,Electronics,3.3,182
2025-07-15,Home Appliances,4.6,142
2025-12-18,Toys,2.18,174
2025-02-12,Toys,1.81,196
2025-02-16,Electronics,1.36,56
2025-03-08,Toys,4.86,57
2025-07-02,Home Appliances,4.72,117
2025-08-24,Toys,2.4,86
2025-11-12,Home Appliances,4.59,90
2025-05-12,Home Appliances,1.17,81
2025-01-04,Toys,1.4,60
2025-10-05,Furniture,4.26,61
2025-09-13,Electronics,3.66,154
2025-11-08,Toys,2.39,155
2025-05-23,Electronics,3.13,173
2025-12-03,Furniture,2.85,144
2025-04-12,Furniture,3.45,154
2025-08-26,Electronics,3.4,194
2025-06-23,Home Appliances,2.76,93
2025-08-16,Electronics,2.13,132
2025-03-22,Home Appliances,3.2,194
2025-10-02,Home Appliances,2.28,173
2025-12-14,Electronics,1.37,139
2025-04-06,Furniture,3.71,161
2025-01-02,Electronics,2.78,136
2025-09-30,Toys,1.51,91
2025-08-05,Toys,3.36,122
2025-09-07,Electronics,4.71,178
2025-07-03,Toys,3.13,132
2025-12-17,Furniture,0.71,139
2025-12-20,Home Appliances,3.79,66
2025-07-12,Home Appliances,0.61,95
2025-04-30,Electronics,2.18,72
2025-01-28,Furniture,2.3,88
2025-12-07,Toys,1.95,154
2025-12-15,Home Appliances,3.49,188
2025-09-05,Toys,4.72,178
2025-03-26,Toys,3.51,165
2025-06-02,Toys,2.61,82
2025-11-16,Home Appliances,2.74,169
2025-02-08,Toys,4.09,71
2025-02-28,Electronics,4.41,160
2025-02-10,Electronics,4.32,148
2025-04-04,Electronics,3.6,88
2025-08-26,Home Appliances,4.29,58
2025-01-17,Furniture,2.78,63
2025-03-22,Furniture,2.68,95
2025-05-16,Electronics,2.53,124
2025-10-06,Toys,2.28,81
2025-04-02,Toys,3.44,54
2025-05-07,Electronics,3.1,129
2025-07-19,Home Appliances,4.3,121
2025-04-03,Toys,4.71,194
2025-02-15,Toys,4.23,71
2025-10-13,Electronics,4.74,200
2025-04-17,Electronics,0.61,170
2025-08-24,Toys,3.44,113
2025-05-05,Home Appliances,2.26,200
2025-02-03,Toys,0.81,142
2025-09-14,Toys,0.65,174
2025-05-29,Furniture,0.68,156
2025-07-09,Furniture,1.71,96
2025-08-27,Furniture,0.98,146
2025-12-16,Electronics,1.62,86
2025-04-12,Electronics,4.22,88
2025-10-26,Furniture,3.97,164
2025-07-14,Electronics,4.0,104
2025-08-24,Toys,3.17,78
2025-07-27,Electronics,4.38,139
2025-12-01,Home Appliances,2.56,137
2025-12-06,Electronics,3.01,65
2025-08-06,Electronics,4.83,129
2025-06-30,Home Appliances,2.24,182
2025-04-22,Home Appliances,0.66,183
2025-12-09,Home Appliances,3.45,138
2025-09-06,Home Appliances,4.16,115
2025-04-17,Home Appliances,0.83,116
2025-03-22,Furniture,2.3,116
2025-09-08,Home Appliances,2.27,171
2025-03-09,Electronics,1.71,156
2025-04-22,Toys,4.95,101
2025-05-29,Electronics,0.66,98
2025-07-05,Home Appliances,4.77,170
2025-11-13,Home Appliances,2.79,145
2025-01-25,Furniture,1.4,102
2025-07-28,Furniture,4.0,176
2025-03-10,Electronics,4.41,165
2025-11-11,Furniture,4.33,148
2025-11-24,Electronics,4.13,150
2025-07-18,Home Appliances,0.6,178
2025-12-15,Electronics,1.32,107
2025-12-10,Furniture,0.98,143
2025-06-25,Toys,1.62,131
2025-07-03,Electronics,4.68,200
2025-04-08,Electronics,4.82,184
2025-10-18,Home Appliances,3.42,87
2025-11-09,Furniture,3.82,164
2025-11-16,Toys,3.25,173
2025-08-16,Home Appliances,2.86,162
2025-04-27,Furniture,4.15,129
2025-12-30,Toys,4.48,121
2025-06-20,Home Appliances,1.18,169
2025-10-15,Home Appliances,0.78,96
2025-09-25,Electronics,0.81,175
2025-08-25,Home Appliances,4.17,53
2025-07-05,Home Appliances,4.77,113
2025-08-15,Furniture,1.03,127
2025-09-05,Furniture,2.52,161
2025-12-20,Electronics,4.3,72
2025-09-12,Toys,3.44,104
2025-10-11,Toys,1.96,84
2025-09-19,Toys,0.78,120
2025-09-29,Furniture,4.32,109
2025-03-31,Furniture,4.81,163
2025-11-22,Furniture,0.99,120
2025-09-17,Furniture,4.41,78
2025-02-08,Toys,2.81,104
2025-12-19,Home Appliances,4.44,161
2025-06-14,Toys,4.65,144
2025-07-10,Furniture,4.24,64
2025-05-28,Home Appliances,4.89,152
2025-10-13,Electronics,2.73,118
2025-11-25,Toys,4.85,197
2025-02-10,Electronics,4.63,105
2025-06-02,Home Appliances,2.53,196
2025-09-23,Toys,3.91,188
2025-10-18,Electronics,3.46,85
2025-01-11,Furniture,2.5,138
2025-05-02,Toys,3.3,91
2025-05-11,Electronics,0.88,50
2025-10-07,Home Appliances,0.94,99
2025-01-04,Furniture,1.0,84
2025-11-28,Furniture,3.32,111
2025-04-29,Electronics,3.06,146
2025-06-29,Home Appliances,4.91,69
2025-01-24,Furniture,3.32,160
2025-05-27,Furniture,1.01,85
2025-07-05,Toys,2.41,198
2025-08-08,Furniture,0.78,149
2025-01-31,Electronics,1.4,184
2025-03-26,Toys,4.97,65
2025-12-27,Furniture,2.78,113
2025-05-14,Home Appliances,4.2,126
2025-06-19,Electronics,0.81,161
2025-12-05,Electronics,1.42,132
2025-12-27,Home Appliances,1.11,104
2025-01-02,Home Appliances,0.91,197
2025-07-15,Toys,3.9,111
2025-07-14,Furniture,3.94,140
2025-09-01,Home Appliances,1.04,172
2025-01-02,Electronics,3.69,104
2025-09-11,Home Appliances,4.01,113
2025-08-03,Home Appliances,4.98,145
2025-12-29,Furniture,1.55,66
2025-09-24,Toys,0.54,171
2025-05-04,Furniture,0.71,155
2025-09-16,Toys,3.19,181
2025-08-26,Electronics,0.58,185
2025-03-04,Furniture,3.19,105
2025-12-15,Electronics,0.87,189
2025-01-11,Home Appliances,4.19,183
2025-02-11,Home Appliances,4.54,180
2025-02-17,Toys,3.69,97
2025-05-19,Furniture,2.12,200
2025-02-03,Toys,1.07,56
2025-01-18,Home Appliances,1.37,151
2025-08-22,Electronics,2.44,65
2025-03-25,Furniture,1.89,140
2025-06-02,Home Appliances,3.27,98
2025-10-09,Electronics,0.82,175
2025-07-17,Home Appliances,3.34,169
2025-08-08,Furniture,0.53,86
2025-12-24,Home Appliances,3.5,72
2025-11-24,Home Appliances,3.87,126
2025-02-12,Furniture,3.64,140
2025-11-24,Toys,1.58,146
2025-06-23,Furniture,2.55,156
2025-06-04,Toys,1.59,64
2025-08-10,Furniture,4.46,65
2025-06-22,Home Appliances,3.35,54
2025-09-08,Home Appliances,3.96,53
2025-03-31,Toys,1.48,172
2025-01-17,Toys,2.69,94
2025-12-22,Furniture,2.44,157
2025-02-25,Toys,2.6,115
2025-11-06,Electronics,1.12,96
2025-05-13,Electronics,1.0,188
2025-06-01,Toys,3.16,178
2025-08-23,Toys,2.94,140
2025-02-25,Furniture,3.79,74
2025-06-27,Toys,0.75,181
2025-12-13,Furniture,3.04,133
2025-09-30,Furniture,4.17,72
2025-02-19,Toys,0.9,149
2025-09-15,Electronics,4.04,177
2025-11-18,Electronics,1.11,119
2025-11-19,Toys,1.98,60
2025-12-03,Toys,4.17,114
2025-08-03,Furniture,1.03,156
2025-12-31,Electronics,2.53,120
2025-03-11,Toys,2.22,144
2025-06-26,Toys,4.51,131
2025-10-12,Furniture,1.73,56
2025-05-05,Home Appliances,3.45,66
2025-10-20,Electronics,4.15,66
2025-03-16,Toys,2.04,100
2025-10-10,Furniture,3.58,94
2025-11-26,Home Appliances,3.34,53
2025-01-03,Furniture,4.08,142
2025-07-27,Toys,1.52,103
2025-08-13,Furniture,1.22,77
2025-03-17,Home Appliances,3.17,124
2025-07-04,Home Appliances,1.02,150
2025-10-04,Home Appliances,2.95,122
2025-08-23,Furniture,1.06,117
2025-04-21,Furniture,1.13,200
2025-07-23,Toys,1.28,157
2025-10-26,Furniture,2.65,176
2025-06-24,Electronics,1.75,100
2025-11-14,Electronics,3.52,196
2025-07-10,Furniture,3.79,167
2025-09-20,Electronics,2.08,80
2025-07-11,Home Appliances,3.59,187
2025-01-20,Toys,4.93,90
2025-02-10,Furniture,3.06,104
2025-02-21,Furniture,3.81,62
2025-04-07,Electronics,1.86,73
2025-10-09,Electronics,1.37,154
2025-06-08,Furniture,1.18,137
2025-12-20,Furniture,3.35,82
2025-11-21,Home Appliances,1.55,182
2025-04-25,Furniture,1.18,56
2025-11-11,Home Appliances,0.76,139
2025-04-20,Electronics,2.65,104
2025-05-03,Electronics,0.7,166
2025-03-24,Home Appliances,1.17,194
2025-12-30,Furniture,3.08,134
2025-04-08,Toys,2.03,117
2025-07-24,Electronics,4.77,100
2025-01-03,Electronics,4.87,92
2025-03-16,Electronics,4.02,198
2025-02-22,Toys,2.5,155
2025-01-05,Furniture,3.86,144
2025-01-03,Toys,2.04,71
2025-01-07,Home Appliances,4.75,117
2025-12-05,Toys,1.44,188
2025-03-25,Home Appliances,0.94,114
2025-11-11,Furniture,2.34,190
2025-11-21,Electronics,2.0,113
2025-06-07,Toys,1.31,83
2025-05-07,Home Appliances,3.35,71
2025-09-24,Electronics,3.85,58
2025-12-16,Furniture,4.92,145
2025-07-01,Electronics,2.91,88
2025-02-26,Home Appliances,4.36,83
2025-07-15,Furniture,2.31,117
2025-03-28,Furniture,0.71,127
2025-05-29,Home Appliances,3.81,87
2025-03-06,Furniture,3.94,61
2025-07-30,Furniture,2.65,119
2025-08-09,Home Appliances,3.75,54
2025-11-01,Toys,1.71,83
2025-08-24,Toys,0.52,148
2025-04-30,Furniture,3.32,174
2025-08-30,Home Appliances,4.22,163
2025-07-20,Furniture,3.95,154
2025-08-04,Furniture,3.58,131
2025-04-25,Toys,2.24,174
2025-08-06,Electronics,4.65,110
2025-09-07,Electronics,0.82,65
2025-08-10,Toys,2.17,145
2025-07-29,Electronics,4.08,138
2025-01-20,Furniture,2.21,192
2025-05-31,Toys,2.14,100
2025-04-09,Furniture,0.74,159
2025-09-06,Home Appliances,2.78,188
2025-12-13,Home Appliances,2.39,105
2025-02-15,Electronics,3.95,118
2025-02-20,Electronics,1.77,136
2025-11-04,Home Appliances,2.43,158
2025-05-27,Home Appliances,4.99,120
2025-11-06,Furniture,1.11,153
2025-06-07,Home Appliances,1.75,74
2025-12-20,Electronics,4.02,119
2025-02-08,Toys,3.27,157
2025-01-06,Toys,4.02,87
2025-04-16,Electronics,2.32,183
2025-11-14,Furniture,3.05,163
2025-04-07,Furniture,1.45,72
2025-04-27,Electronics,2.99,69
2025-08-26,Toys,2.95,147
2025-03-24,Toys,2.8,145
2025-11-25,Home Appliances,2.11,96
2025-10-19,Home Appliances,1.62,165
2025-01-06,Furniture,2.34,66
2025-12-23,Toys,1.48,61
2025-03-17,Toys,2.96,158
2025-01-06,Toys,4.49,63
2025-02-15,Electronics,2.9,67
2025-10-27,Furniture,1.13,87
2025-08-23,Electronics,0.54,170
2025-07-22,Furniture,1.78,63
2025-04-22,Furniture,4.76,115
2025-03-18,Home Appliances,3.52,105
2025-09-13,Electronics,0.96,126
2025-04-21,Furniture,3.24,189
2025-12-05,Toys,2.23,196
2025-01-26,Toys,3.67,83
2025-06-10,Furniture,4.41,65
2025-03-19,Home Appliances,4.5,158
2025-09-06,Electronics,0.98,198
2025-06-26,Furniture,4.17,67
2025-10-28,Furniture,1.22,154
2025-08-29,Electronics,4.81,121
2025-09-21,Home Appliances,1.81,54
2025-06-28,Home Appliances,1.76,132
2025-11-29,Home Appliances,2.72,76
2025-10-20,Home Appliances,0.68,78
2025-11-22,Toys,4.24,106
2025-10-05,Home Appliances,2.06,122
2025-12-11,Furniture,1.56,175
2025-11-08,Toys,0.79,96
2025-05-27,Toys,3.38,182
2025-08-31,Toys,3.05,133
2025-07-01,Home Appliances,2.29,198
2025-04-27,Electronics,2.15,161
2025-10-15,Electronics,1.48,74
2025-08-31,Home Appliances,0.64,164
2025-09-20,Toys,2.54,165
2025-12-13,Home Appliances,2.31,96
2025-01-09,Toys,3.71,187
2025-04-19,Home Appliances,3.3,179
2025-08-23,Furniture,3.93,88
2025-09-24,Home Appliances,4.39,182
2025-07-26,Home Appliances,2.59,170
2025-01-20,Furniture,4.22,170
2025-09-29,Toys,3.35,74
2025-04-06,Electronics,2.64,188
2025-10-14,Furniture,2.97,128
2025-03-23,Furniture,3.05,197
2025-04-15,Electronics,2.11,79
2025-07-19,Furniture,3.27,95
2025-11-15,Home Appliances,3.21,199
2025-02-15,Toys,4.33,52
2025-04-05,Home Appliances,4.46,64
2025-01-10,Toys,2.2,161
2025-04-13,Furniture,4.47,92
2025-04-15,Furniture,1.11,155
2025-05-19,Furniture,2.61,154
2025-09-25,Electronics,3.32,118
2025-05-21,Toys,1.3,131
2025-11-09,Furniture,4.42,121
2025-10-10,Furniture,0.64,145
2025-05-30,Furniture,1.78,77
2025-07-19,Electronics,1.69,164
2025-01-06,Toys,1.84,78
2025-09-19,Home Appliances,0.54,61
2025-03-18,Home Appliances,1.14,199
2025-09-24,Electronics,2.81,65
2025-06-15,Furniture,3.38,130
2025-05-02,Home Appliances,4.96,129
2025-02-09,Furniture,4.57,83
2025-03-30,Home Appliances,3.11,148
2025-04-20,Electronics,4.65,160
2025-09-16,Furniture,0.65,64
2025-10-16,Home Appliances,4.28,135
2025-07-14,Toys,3.38,199
2025-08-25,Toys,0.52,119
2025-12-29,Electronics,2.58,78
2025-11-22,Furniture,4.5,73
2025-04-28,Electronics,3.5,151
2025-10-08,Electronics,1.32,107
2025-10-18,Electronics,3.72,135
2025-08-15,Electronics,0.99,148
2025-05-13,Furniture,4.02,123
2025-12-19,Electronics,5.0,56
2025-04-06,Furniture,3.5,164
2025-10-17,Home Appliances,2.43,88
2025-03-26,Electronics,1.75,66
2025-04-01,Home Appliances,0.85,138
2025-12-12,Electronics,3.57,125
2025-06-30,Toys,3.13,81
2025-08-31,Furniture,0.61,84
2025-12-07,Furniture,0.57,142
2025-01-03,Toys,0.61,85
2025-08-16,Furniture,4.88,110
2025-04-30,Toys,0.86,141
2025-02-19,Home Appliances,2.75,98
2025-09-22,Toys,0.51,69
2025-08-21,Electronics,2.0,162
2025-05-07,Home Appliances,1.08,78
2025-01-12,Electronics,1.19,176
2025-09-01,Furniture,2.4,108
2025-09-28,Home Appliances,1.23,69
2025-12-11,Electronics,4.89,59
2025-05-13,Toys,1.73,100
2025-10-24,Electronics,3.16,180
2025-01-20,Home Appliances,1.18,139
2025-09-23,Furniture,0.58,162
2025-08-02,Furniture,4.24,147
2025-01-23,Furniture,0.71,121
2025-03-03,Toys,1.94,199
2025-02-26,Toys,4.94,152
2025-11-21,Furniture,2.58,79
2025-11-03,Electronics,4.2,159
2025-12-23,Furniture,4.84,104
2025-02-23,Home Appliances,2.45,156
2025-12-28,Toys,2.5,96
2025-07-11,Toys,0.65,122
2025-08-19,Home Appliances,2.09,127
2025-11-20,Home Appliances,3.29,178
2025-10-24,Toys,2.04,187
2025-04-27,Electronics,3.95,144
2025-02-20,Toys,2.63,170
2025-10-10,Electronics,0.51,82
2025-12-04,Toys,0.79,53
2025-07-17,Furniture,4.66,152
2025-02-26,Furniture,2.66,141
2025-02-05,Home Appliances,0.87,157
2025-07-31,Electronics,1.6,93
2025-03-10,Furniture,0.89,92
2025-03-10,Electronics,0.68,117
2025-07-09,Toys,4.86,126
2025-01-02,Furniture,1.82,105
2025-11-11,Home Appliances,4.24,154
2025-03-24,Furniture,3.17,158
2025-07-26,Electronics,2.25,187
2025-01-23,Home Appliances,2.28,154
2025-11-09,Home Appliances,3.75,189
2025-08-28,Furniture,1.71,112
2025-05-30,Home Appliances,1.18,120
2025-08-30,Electronics,3.94,103
2025-12-07,Electronics,1.28,113
2025-10-01,Toys,3.03,135
2025-03-06,Electronics,3.6,77
2025-01-28,Toys,3.7,61
2025-08-13,Furniture,4.16,106
2025-10-28,Toys,3.23,140
2025-04-25,Electronics,0.81,122
2025-10-31,Home Appliances,1.01,190
2025-02-15,Furniture,1.26,115
2025-07-08,Furniture,3.51,123
2025-11-23,Toys,3.12,118
2025-09-23,Home Appliances,4.72,68
2025-09-08,Home Appliances,3.94,50
2025-08-27,Electronics,3.47,183
2025-08-15,Toys,0.77,141
2025-07-05,Toys,2.02,71
2025-01-18,Electronics,0.64,132
2025-08-24,Furniture,4.29,141
2025-10-11,Home Appliances,2.2,185
2025-01-19,Toys,4.56,123
2025-11-01,Electronics,4.66,197
2025-03-13,Home Appliances,1.44,92
2025-06-17,Furniture,2.18,184
2025-07-02,Electronics,4.64,181
2025-12-31,Furniture,4.35,164
2025-12-27,Furniture,1.95,185
2025-01-14,Toys,2.27,144
2025-03-01,Home Appliances,4.17,147
2025-11-05,Toys,2.83,175
2025-11-29,Home Appliances,1.13,152
2025-10-16,Electronics,0.5,127
2025-05-10,Electronics,3.88,185
2025-07-15,Electronics,4.01,65
2025-06-11,Furniture,1.82,90
2025-08-09,Furniture,2.2,127
2025-09-01,Toys,4.04,146
2025-06-08,Electronics,3.8,125
2025-04-08,Toys,3.78,149
2025-12-18,Electronics,2.61,60
2025-06-25,Toys,0.81,62
2025-05-27,Electronics,2.27,109
2025-02-25,Furniture,2.51,103
2025-02-13,Electronics,0.98,193
2025-05-15,Furniture,4.79,168
2025-08-21,Toys,2.87,138
2025-06-08,Furniture,0.98,97
2025-10-06,Home Appliances,0.54,74
2025-01-28,Home Appliances,1.92,98
2025-04-09,Toys,1.0,98
2025-09-24,Home Appliances,1.56,153
2025-03-14,Electronics,0.54,146
2025-12-20,Toys,4.43,117
2025-12-15,Toys,2.11,161
2025-06-04,Home Appliances,4.49,82
2025-02-19,Furniture,0.63,128
2025-12-18,Furniture,3.61,54
2025-02-01,Toys,3.41,169
2025-02-09,Home Appliances,2.18,80
2025-05-22,Toys,2.51,116
2025-08-30,Electronics,3.28,102
2025-09-18,Furniture,1.8,135
2025-02-20,Toys,3.56,137
2025-05-06,Toys,3.34,121
2025-09-21,Furniture,2.11,145
2025-04-28,Home Appliances,3.04,137
2025-03-30,Toys,1.03,113
2025-05-26,Toys,1.87,192
2025-12-22,Toys,2.32,155
2025-10-03,Electronics,1.32,146
2025-02-08,Furniture,0.51,177
2025-07-01,Electronics,2.9,104
2025-01-02,Toys,1.96,182
2025-05-31,Toys,2.0,179
2025-05-26,Home Appliances,3.09,94
2025-09-26,Toys,3.06,66
2025-11-17,Toys,2.75,125
2025-05-18,Electronics,1.22,100
2025-08-09,Furniture,2.46,177
2025-03-29,Home Appliances,3.35,79
2025-03-21,Electronics,1.82,90
2025-10-16,Toys,2.98,94
2025-10-04,Furniture,1.34,187
2025-08-23,Home Appliances,4.72,152
2025-06-25,Furniture,3.81,126
2025-07-05,Electronics,2.23,74
2025-09-29,Home Appliances,1.14,53
2025-05-08,Toys,4.66,161
2025-03-24,Home Appliances,3.8,137
2025-04-27,Furniture,4.84,189
2025-08-24,Electronics,1.79,67
