Date,Competitor,Product,Quantity,Revenue
2025-06-26,CompY,Widget A,40,1320
2025-06-20,CompX,Widget E,16,320
2025-12-03,CompY,Widget B,40,1680
2025-01-29,CompX,Widget E,4,68
2025-10-05,CompY,Widget C,47,2068
2025-09-15,CompX,Widget B,8,392
2025-03-15,CompX,Widget B,44,1892
2025-04-24,CompY,Widget E,34,1224
2025-11-01,CompY,Widget B,50,2050
2025-12-01,CompX,Widget D,1,42
2025-06-28,CompZ,Widget C,38,1064
2025-01-04,CompY,Widget E,37,777
2025-12-03,CompZ,Widget A,27,486
2025-12-04,CompZ,Widget E,10,310
2025-09-27,CompX,Widget A,35,700
2025-06-02,CompZ,Widget C,19,551
2025-04-11,CompY,Widget A,29,696
2025-09-15,CompY,Widget D,8,232
2025-07-06,CompY,Widget D,8,152
2025-09-10,CompY,Widget A,16,768
2025-06-13,CompY,Widget A,36,900
2025-07-04,CompZ,Widget A,1,29
2025-02-07,CompZ,Widget D,20,620
2025-09-01,CompX,Widget E,19,760
2025-01-26,CompY,Widget A,13,390
2025-04-07,CompY,Widget E,13,481
2025-08-25,CompY,Widget B,19,741
2025-08-25,CompZ,Widget E,27,1053
2025-01-19,CompZ,Widget E,4,164
2025-07-19,CompZ,Widget D,30,1320
2025-01-24,CompX,Widget A,19,874
2025-06-30,CompX,Widget A,1,39
2025-07-26,CompZ,Widget E,48,2256
2025-07-01,CompX,Widget D,42,1386
2025-04-02,CompX,Widget C,14,336
2025-09-05,CompZ,Widget C,3,126
2025-04-09,CompZ,Widget C,48,480
2025-04-21,CompZ,Widget C,6,234
2025-10-13,CompY,Widget A,44,1056
2025-10-05,CompZ,Widget B,48,1728
2025-06-23,CompY,Widget A,35,560
2025-03-02,CompZ,Widget B,11,385
2025-07-19,CompY,Widget B,1,40
2025-02-26,CompY,Widget D,25,975
2025-09-01,CompY,Widget B,50,1200
2025-10-29,CompX,Widget E,42,1386
2025-10-08,CompX,Widget B,25,325
2025-11-21,CompZ,Widget D,11,473
2025-08-08,CompZ,Widget D,32,384
2025-04-03,CompX,Widget A,11,374
2025-05-01,CompZ,Widget B,7,126
2025-11-09,CompY,Widget E,38,608
2025-02-16,CompX,Widget D,1,43
2025-07-13,CompZ,Widget B,1,11
2025-12-16,CompX,Widget E,43,1591
2025-06-19,CompY,Widget C,14,266
2025-01-10,CompZ,Widget E,7,168
2025-12-04,CompX,Widget A,15,600
2025-12-08,CompX,Widget B,7,343
2025-11-10,CompY,Widget A,11,484
2025-04-15,CompZ,Widget A,9,351
2025-10-22,CompX,Widget E,15,750
2025-09-13,CompY,Widget C,26,364
2025-11-18,CompX,Widget C,32,512
2025-07-02,CompY,Widget D,13,481
2025-04-08,CompZ,Widget C,10,270
2025-11-19,CompX,Widget A,29,1160
2025-08-04,CompX,Widget D,34,1360
2025-07-22,CompZ,Widget E,4,112
2025-02-01,CompX,Widget B,4,200
2025-02-04,CompY,Widget C,50,1500
2025-12-05,CompX,Widget E,43,731
2025-10-07,CompY,Widget D,18,324
2025-03-13,CompX,Widget B,45,810
2025-08-17,CompZ,Widget E,46,552
2025-01-20,CompX,Widget C,1,39
2025-12-08,CompX,Widget D,39,1053
2025-12-30,CompX,Widget B,21,336
2025-06-16,CompX,Widget B,42,966
2025-09-14,CompX,Widget A,18,324
2025-06-23,CompZ,Widget B,12,180
2025-07-03,CompY,Widget D,29,638
2025-06-18,CompZ,Widget D,14,406
2025-06-30,CompY,Widget A,7,189
2025-09-11,CompY,Widget B,31,1240
2025-12-23,CompX,Widget B,47,1457
2025-06-10,CompZ,Widget E,26,1196
2025-08-28,CompY,Widget E,13,559
2025-11-01,CompZ,Widget C,7,315
2025-12-02,CompX,Widget C,27,999
2025-01-22,CompY,Widget E,44,440
2025-02-02,CompY,Widget B,18,234
2025-07-08,CompX,Widget B,37,555
2025-08-27,CompX,Widget E,20,720
2025-06-02,CompZ,Widget D,46,1794
2025-12-17,CompZ,Widget E,20,540
2025-03-31,CompX,Widget C,40,1960
2025-03-28,CompY,Widget C,23,552
2025-02-10,CompY,Widget C,18,738
2025-10-10,CompZ,Widget A,50,950
2025-05-24,CompZ,Widget D,48,576
2025-12-27,CompX,Widget B,8,256
2025-02-17,CompY,Widget E,20,300
2025-05-02,CompZ,Widget E,44,1716
2025-04-05,CompZ,Widget C,36,1728
2025-03-14,CompZ,Widget B,41,533
2025-06-07,CompX,Widget D,7,238
2025-05-15,CompX,Widget E,2,50
2025-09-03,CompY,Widget B,23,966
2025-10-15,CompZ,Widget A,2,48
2025-03-01,CompZ,Widget C,30,690
2025-02-13,CompY,Widget E,16,528
2025-07-19,CompX,Widget A,2,22
2025-06-07,CompZ,Widget C,13,143
2025-06-29,CompX,Widget E,11,528
2025-09-22,CompY,Widget B,2,64
2025-12-30,CompY,Widget D,21,462
2025-12-31,CompX,Widget C,30,870
2025-12-21,CompY,Widget E,38,1482
2025-01-03,CompZ,Widget D,7,336
2025-09-15,CompX,Widget D,42,1470
2025-09-17,CompX,Widget E,31,341
2025-04-23,CompY,Widget B,32,384
2025-12-13,CompX,Widget B,36,792
2025-11-24,CompX,Widget B,44,1540
2025-04-04,CompX,Widget B,13,442
2025-02-08,CompX,Widget B,13,247
2025-07-22,CompX,Widget C,7,280
2025-01-05,CompX,Widget C,18,900
2025-06-10,CompZ,Widget C,19,266
2025-07-15,CompX,Widget E,40,1600
2025-10-31,CompX,Widget E,37,555
2025-12-29,CompZ,Widget D,50,1150
2025-05-13,CompY,Widget B,10,160
2025-01-13,CompY,Widget D,19,380
2025-08-31,CompY,Widget C,19,513
2025-04-25,CompZ,Widget A,37,740
2025-10-24,CompY,Widget E,22,616
2025-06-18,CompY,Widget D,8,288
2025-06-11,CompX,Widget A,13,130
2025-06-06,CompX,Widget D,35,700
2025-04-14,CompY,Widget E,36,864
2025-08-28,CompZ,Widget D,15,315
2025-12-02,CompZ,Widget A,7,126
2025-01-02,CompZ,Widget A,42,1470
2025-07-24,CompZ,Widget E,17,799
2025-11-08,CompY,Widget A,47,564
2025-09-07,CompZ,Widget A,3,81
2025-10-09,CompX,Widget E,28,1400
2025-07-18,CompY,Widget D,33,1320
2025-05-25,CompZ,Widget C,1,11
2025-05-24,CompY,Widget E,20,820
2025-06-05,CompX,Widget E,8,272
2025-06-10,CompZ,Widget B,10,330
2025-08-22,CompY,Widget B,23,598
2025-09-30,CompY,Widget A,1,21
2025-01-19,CompY,Widget A,41,1599
2025-08-06,CompZ,Widget B,40,880
2025-03-01,CompX,Widget D,37,1406
2025-07-22,CompY,Widget B,49,1862
2025-09-27,CompX,Widget A,13,455
2025-11-17,CompZ,Widget D,25,1225
2025-07-11,CompY,Widget B,30,1410
2025-10-16,CompX,Widget C,50,750
2025-08-04,CompZ,Widget E,10,430
2025-08-19,CompX,Widget B,28,980
2025-01-28,CompZ,Widget D,42,798
2025-06-07,CompY,Widget A,39,1170
2025-02-02,CompZ,Widget E,46,2024
2025-05-27,CompY,Widget D,2,96
2025-01-02,CompX,Widget C,16,592
2025-08-02,CompZ,Widget C,12,324
2025-10-20,CompX,Widget E,43,1247
2025-10-01,CompY,Widget C,35,1225
2025-12-26,CompX,Widget C,42,2016
2025-11-16,CompY,Widget B,9,198
2025-08-23,CompY,Widget C,50,750
2025-10-31,CompZ,Widget D,31,1364
2025-06-24,CompY,Widget A,13,494
2025-02-14,CompY,Widget D,1,18
2025-10-04,CompZ,Widget D,28,1008
2025-08-19,CompY,Widget A,11,484
2025-07-15,CompX,Widget A,21,210
2025-06-30,CompX,Widget A,18,558
2025-10-30,CompY,Widget C,31,899
2025-02-24,CompZ,Widget E,42,504
2025-01-10,CompY,Widget D,8,184
2025-12-28,CompX,Widget C,11,319
2025-01-15,CompZ,Widget A,39,1872
2025-06-14,CompZ,Widget B,31,837
2025-11-13,CompZ,Widget D,41,656
2025-01-21,CompZ,Widget C,3,60
2025-02-10,CompY,Widget B,38,722
2025-07-14,CompX,Widget C,12,444
2025-07-08,CompY,Widget C,10,260
2025-03-05,CompZ,Widget B,20,680
2025-02-26,CompX,Widget D,21,987
2025-01-04,CompY,Widget C,17,799
2025-06-15,CompZ,Widget D,46,460
2025-01-31,CompX,Widget C,11,539
2025-04-28,CompY,Widget C,4,60
2025-10-27,CompZ,Widget B,41,492
2025-07-11,CompZ,Widget D,21,945
2025-12-11,CompX,Widget A,39,858
2025-02-04,CompY,Widget B,42,1470
2025-04-29,CompZ,Widget A,30,900
2025-05-23,CompY,Widget A,2,22
2025-12-08,CompZ,Widget D,14,574
2025-05-17,CompY,Widget C,9,216
2025-07-04,CompZ,Widget A,24,624
2025-10-02,CompY,Widget B,43,1204
2025-07-17,CompX,Widget C,41,1845
2025-08-28,CompZ,Widget B,3,30
2025-09-04,CompZ,Widget A,40,680
2025-10-18,CompY,Widget B,32,448
2025-03-09,CompX,Widget B,44,1540
2025-10-05,CompZ,Widget C,27,918
2025-06-03,CompZ,Widget B,45,495
2025-09-22,CompZ,Widget C,33,561
2025-02-24,CompX,Widget E,49,1568
2025-04-15,CompX,Widget A,16,304
2025-07-12,CompZ,Widget C,12,288
2025-10-02,CompX,Widget B,15,570
2025-01-15,CompZ,Widget B,12,252
2025-01-13,CompY,Widget E,9,216
2025-02-28,CompZ,Widget E,30,660
2025-09-16,CompZ,Widget E,49,1862
2025-06-15,CompY,Widget D,16,752
2025-09-14,CompZ,Widget B,33,330
2025-08-22,CompY,Widget D,24,720
2025-01-01,CompY,Widget A,7,154
2025-08-21,CompY,Widget C,39,585
2025-06-30,CompX,Widget D,8,320
2025-10-28,CompY,Widget E,6,216
2025-11-24,CompY,Widget D,25,625
2025-08-16,CompY,Widget E,16,192
2025-04-16,CompX,Widget A,25,1100
2025-08-29,CompX,Widget D,12,588
2025-12-09,CompZ,Widget E,6,66
2025-08-24,CompY,Widget B,46,2254
2025-10-11,CompZ,Widget D,42,1008
2025-09-25,CompX,Widget D,15,510
2025-06-03,CompZ,Widget C,12,168
2025-01-15,CompZ,Widget B,48,816
2025-02-19,CompY,Widget D,45,855
2025-03-02,CompX,Widget D,21,840
2025-02-12,CompZ,Widget E,3,81
2025-11-08,CompY,Widget B,42,588
2025-01-15,CompY,Widget E,2,30
2025-06-06,CompZ,Widget D,3,147
2025-03-16,CompX,Widget E,21,336
2025-05-13,CompY,Widget D,26,286
2025-03-13,CompY,Widget A,37,1221
2025-11-21,CompY,Widget E,9,288
2025-12-21,CompZ,Widget C,50,2200
2025-03-08,CompX,Widget E,32,800
2025-11-27,CompY,Widget C,34,1462
2025-06-11,CompY,Widget C,26,806
2025-03-22,CompX,Widget A,40,1480
2025-04-11,CompZ,Widget A,24,1104
2025-08-03,CompX,Widget A,18,324
2025-11-07,CompZ,Widget D,24,792
2025-03-01,CompX,Widget E,25,650
2025-12-16,CompX,Widget A,17,629
2025-01-22,CompX,Widget E,24,768
2025-01-25,CompY,Widget A,45,1890
2025-03-15,CompZ,Widget A,5,115
2025-01-17,CompX,Widget D,42,1722
2025-02-15,CompZ,Widget A,40,400
2025-03-14,CompZ,Widget B,26,1222
2025-03-22,CompX,Widget D,7,154
2025-06-29,CompZ,Widget B,36,828
2025-07-17,CompX,Widget E,23,529
2025-03-19,CompY,Widget E,7,77
2025-08-02,CompZ,Widget A,3,72
2025-06-03,CompY,Widget E,40,1400
2025-05-26,CompX,Widget B,19,741
2025-01-26,CompX,Widget A,24,1200
2025-09-29,CompZ,Widget E,44,2112
2025-03-12,CompY,Widget D,3,63
2025-02-24,CompX,Widget C,49,588
2025-07-10,CompX,Widget A,7,84
2025-11-12,CompZ,Widget D,35,1085
2025-11-08,CompZ,Widget D,44,968
2025-08-31,CompX,Widget D,38,1748
2025-08-21,CompY,Widget B,15,465
2025-08-31,CompZ,Widget E,15,225
2025-08-02,CompZ,Widget C,34,476
2025-09-07,CompX,Widget C,18,738
2025-11-24,CompY,Widget A,43,1548
2025-12-08,CompZ,Widget A,23,552
2025-05-08,CompZ,Widget B,6,204
2025-10-29,CompY,Widget E,24,912
2025-05-31,CompY,Widget B,39,663
2025-11-18,CompY,Widget E,2,46
2025-05-30,CompZ,Widget A,21,882
2025-10-03,CompY,Widget E,20,920
2025-12-17,CompX,Widget E,18,720
2025-01-14,CompZ,Widget E,41,1394
2025-10-30,CompZ,Widget A,5,60
2025-07-04,CompX,Widget E,14,630
2025-10-25,CompY,Widget C,4,176
2025-02-25,CompZ,Widget E,49,1960
2025-09-12,CompY,Widget E,6,264
2025-10-03,CompZ,Widget C,35,1400
2025-05-18,CompX,Widget E,43,860
2025-03-12,CompZ,Widget C,39,1599
2025-03-13,CompX,Widget B,46,2024
2025-10-03,CompX,Widget B,47,1363
2025-10-10,CompY,Widget E,26,1040
2025-10-25,CompY,Widget E,29,1073
2025-10-03,CompY,Widget D,21,777
2025-09-21,CompX,Widget B,41,984
2025-06-07,CompY,Widget D,15,360
2025-08-04,CompZ,Widget E,18,666
2025-04-02,CompZ,Widget A,16,672
2025-01-09,CompY,Widget C,3,54
2025-09-15,CompX,Widget D,18,414
2025-08-12,CompX,Widget C,4,64
2025-04-26,CompY,Widget C,4,40
2025-12-13,CompX,Widget B,47,1739
2025-08-01,CompZ,Widget E,7,238
2025-08-24,CompZ,Widget B,30,600
2025-06-23,CompY,Widget A,32,704
2025-11-27,CompY,Widget C,8,360
2025-12-08,CompX,Widget D,33,462
2025-04-16,CompZ,Widget E,7,147
2025-08-22,CompX,Widget D,48,1584
2025-01-27,CompZ,Widget B,30,570
2025-05-31,CompY,Widget A,23,391
2025-01-11,CompY,Widget D,44,1188
2025-01-29,CompZ,Widget B,10,360
2025-06-05,CompZ,Widget D,9,135
2025-02-21,CompX,Widget D,2,82
2025-12-05,CompX,Widget E,37,370
2025-06-28,CompX,Widget B,4,68
2025-02-07,CompX,Widget D,26,416
2025-11-04,CompZ,Widget A,43,1978
2025-02-04,CompZ,Widget B,41,943
2025-07-28,CompZ,Widget E,20,240
2025-09-26,CompX,Widget B,36,1512
2025-04-14,CompZ,Widget A,17,170
2025-06-29,CompX,Widget D,32,1408
2025-02-17,CompY,Widget E,49,1666
2025-09-17,CompZ,Widget B,4,200
2025-08-09,CompZ,Widget E,16,448
2025-07-05,CompX,Widget B,41,1681
2025-08-17,CompX,Widget D,20,460
2025-07-01,CompZ,Widget E,8,352
2025-09-24,CompY,Widget C,21,1029
2025-03-09,CompX,Widget B,6,198
2025-08-14,CompY,Widget D,50,1200
2025-01-28,CompY,Widget D,21,861
2025-03-23,CompY,Widget B,27,1323
2025-07-17,CompX,Widget C,7,245
2025-05-21,CompZ,Widget C,19,779
2025-03-10,CompX,Widget B,27,999
2025-01-12,CompZ,Widget E,16,576
2025-02-01,CompY,Widget C,18,432
2025-12-03,CompY,Widget B,7,350
2025-06-18,CompY,Widget D,39,819
2025-04-20,CompY,Widget C,42,2058
2025-11-19,CompY,Widget A,22,1056
2025-12-16,CompX,Widget B,7,168
2025-03-05,CompY,Widget E,35,385
2025-10-16,CompY,Widget C,16,496
2025-12-21,CompZ,Widget C,18,270
2025-11-21,CompY,Widget A,15,330
2025-11-06,CompX,Widget B,30,1200
2025-08-17,CompX,Widget C,48,672
2025-09-11,CompY,Widget D,12,468
2025-11-06,CompZ,Widget E,1,25
2025-03-25,CompY,Widget E,30,870
2025-06-23,CompZ,Widget B,38,1900
2025-04-12,CompY,Widget C,20,940
2025-05-21,CompY,Widget C,25,1100
2025-06-03,CompY,Widget B,27,783
2025-11-30,CompZ,Widget A,23,828
2025-03-27,CompZ,Widget A,40,560
2025-08-30,CompZ,Widget D,21,483
2025-07-15,CompZ,Widget D,47,564
2025-05-30,CompY,Widget A,15,615
2025-01-07,CompX,Widget B,47,705
2025-02-24,CompY,Widget A,13,390
2025-09-02,CompY,Widget D,43,1548
2025-02-07,CompX,Widget D,38,1064
2025-08-20,CompY,Widget D,2,44
2025-04-27,CompX,Widget E,5,70
2025-09-06,CompX,Widget B,38,798
2025-12-08,CompZ,Widget A,20,920
2025-04-07,CompZ,Widget A,36,756
2025-06-22,CompZ,Widget B,31,1457
2025-09-19,CompY,Widget A,14,644
2025-11-30,CompX,Widget C,14,196
2025-08-10,CompY,Widget A,38,1710
2025-10-07,CompX,Widget B,17,595
2025-10-09,CompY,Widget E,34,510
2025-06-12,CompY,Widget C,9,99
2025-08-03,CompY,Widget E,22,1056
2025-11-08,CompY,Widget C,32,352
2025-11-02,CompY,Widget B,16,704
2025-07-05,CompX,Widget D,27,405
2025-04-22,CompY,Widget A,7,273
2025-01-25,CompY,Widget E,29,986
2025-09-15,CompX,Widget B,4,104
2025-07-01,CompX,Widget E,11,506
2025-05-22,CompX,Widget D,3,117
2025-08-23,CompX,Widget D,18,792
2025-12-11,CompZ,Widget C,31,837
2025-08-15,CompZ,Widget E,3,66
2025-05-07,CompZ,Widget D,23,322
2025-12-19,CompX,Widget E,42,1974
2025-08-26,CompZ,Widget D,22,660
2025-11-05,CompY,Widget E,26,286
2025-03-28,CompZ,Widget C,31,527
2025-03-18,CompX,Widget B,23,276
2025-07-01,CompZ,Widget A,3,51
2025-07-07,CompY,Widget E,49,735
2025-11-12,CompX,Widget B,45,450
2025-07-04,CompY,Widget A,37,1591
2025-08-27,CompY,Widget D,24,744
2025-11-25,CompZ,Widget D,15,645
2025-08-25,CompX,Widget A,14,672
2025-07-07,CompX,Widget A,42,672
2025-07-07,CompZ,Widget A,48,1248
2025-04-21,CompX,Widget C,43,1763
2025-09-19,CompX,Widget B,41,861
2025-07-18,CompX,Widget C,37,888
2025-08-14,CompZ,Widget E,24,408
2025-02-26,CompZ,Widget C,6,216
2025-04-18,CompY,Widget B,11,374
2025-07-07,CompY,Widget B,31,1426
2025-10-24,CompY,Widget B,43,2021
2025-02-14,CompX,Widget D,7,203
2025-02-20,CompX,Widget E,5,160
2025-08-24,CompZ,Widget D,15,630
2025-12-04,CompY,Widget A,43,688
2025-07-14,CompZ,Widget B,10,150
2025-01-28,CompZ,Widget E,2,68
2025-04-11,CompZ,Widget A,30,750
2025-03-08,CompY,Widget A,31,465
2025-04-17,CompX,Widget B,10,140
2025-07-15,CompY,Widget A,1,37
2025-04-01,CompX,Widget B,3,39
2025-08-23,CompX,Widget B,31,1457
2025-04-26,CompY,Widget A,19,950
2025-04-23,CompX,Widget B,16,560
2025-10-06,CompX,Widget C,24,384
2025-09-01,CompX,Widget B,50,1950
2025-01-28,CompY,Widget C,21,231
2025-08-01,CompY,Widget D,40,1280
2025-05-30,CompX,Widget A,26,650
2025-10-09,CompZ,Widget E,50,2150
2025-04-01,CompY,Widget E,8,368
2025-09-10,CompY,Widget C,26,884
2025-05-26,CompZ,Widget E,32,928
2025-04-18,CompX,Widget B,28,1400
2025-07-09,CompZ,Widget E,35,1365
2025-10-24,CompZ,Widget E,26,416
2025-02-09,CompX,Widget B,31,620
2025-10-27,CompY,Widget A,42,966
2025-05-16,CompX,Widget D,48,1392
2025-08-04,CompX,Widget A,18,846
2025-05-20,CompY,Widget C,41,1968
2025-06-16,CompZ,Widget D,37,1776
2025-06-03,CompX,Widget E,16,624
2025-07-06,CompX,Widget A,39,468
2025-12-19,CompX,Widget A,22,1056
2025-03-20,CompZ,Widget A,7,336
2025-04-07,CompX,Widget E,39,1833
2025-10-22,CompX,Widget C,22,264
2025-03-01,CompY,Widget D,1,31
2025-12-17,CompY,Widget E,37,1406
2025-07-27,CompZ,Widget E,43,946
2025-06-10,CompY,Widget A,29,609
2025-01-10,CompZ,Widget C,27,810
2025-06-18,CompX,Widget D,25,1200
2025-12-04,CompZ,Widget B,12,444
2025-01-22,CompX,Widget E,44,1320
2025-03-04,CompX,Widget C,40,480
2025-08-07,CompZ,Widget D,8,296
2025-04-13,CompY,Widget E,43,688
2025-09-10,CompY,Widget A,21,210
2025-05-09,CompY,Widget A,47,1692
2025-06-08,CompX,Widget A,38,1178
2025-03-24,CompZ,Widget E,6,300
2025-06-07,CompX,Widget B,4,72
2025-08-01,CompX,Widget B,6,90
2025-04-24,CompY,Widget C,38,1900
2025-08-04,CompX,Widget C,20,920
2025-03-17,CompZ,Widget D,10,100
2025-12-24,CompX,Widget E,1,50
2025-12-27,CompZ,Widget A,24,384
2025-12-14,CompY,Widget C,1,28
2025-09-20,CompX,Widget B,40,400
2025-08-09,CompZ,Widget A,38,798
2025-03-21,CompZ,Widget C,40,960
2025-06-12,CompX,Widget E,27,702
2025-03-13,CompY,Widget C,8,376
2025-05-18,CompZ,Widget A,32,896
2025-06-04,CompY,Widget A,13,234
2025-03-23,CompZ,Widget C,28,812
2025-11-09,CompY,Widget A,22,242
2025-07-18,CompY,Widget C,31,1457
2025-03-06,CompX,Widget E,15,390
2025-09-23,CompX,Widget D,13,598
2025-03-30,CompX,Widget A,46,1334
2025-02-15,CompY,Widget C,1,41
2025-04-16,CompY,Widget A,23,1127
2025-01-08,CompY,Widget B,22,1056
2025-12-25,CompZ,Widget B,17,510
2025-05-05,CompX,Widget B,21,966
2025-05-04,CompZ,Widget E,21,504
2025-01-03,CompX,Widget D,39,1404
2025-11-10,CompY,Widget A,39,1482
2025-04-21,CompY,Widget E,48,1632
2025-09-07,CompX,Widget E,38,1748
2025-09-08,CompX,Widget C,9,90
2025-09-28,CompX,Widget C,33,1221
2025-12-17,CompX,Widget E,31,651
2025-09-28,CompY,Widget B,35,1015
2025-06-06,CompZ,Widget D,47,1222
2025-03-12,CompX,Widget A,48,816
2025-08-23,CompY,Widget C,11,429
2025-05-21,CompZ,Widget E,7,203
2025-03-24,CompX,Widget A,16,784
2025-06-15,CompY,Widget E,3,126
2025-02-03,CompY,Widget C,49,1176
2025-04-19,CompZ,Widget B,13,338
2025-05-02,CompY,Widget B,28,896
2025-06-19,CompZ,Widget B,17,306
2025-12-07,CompZ,Widget A,45,2025
2025-03-06,CompY,Widget D,12,396
2025-10-05,CompY,Widget D,47,705
2025-10-26,CompZ,Widget B,16,688
2025-06-29,CompY,Widget C,37,1591
2025-03-02,CompZ,Widget B,43,989
2025-08-03,CompY,Widget C,34,1326
2025-06-06,CompX,Widget A,7,224
2025-12-16,CompY,Widget C,23,322
2025-11-05,CompY,Widget B,3,39
2025-07-03,CompY,Widget E,2,96
2025-05-30,CompZ,Widget A,28,868
2025-10-23,CompZ,Widget A,24,768
2025-07-15,CompX,Widget E,38,646
2025-01-10,CompY,Widget E,17,833
2025-01-28,CompZ,Widget A,41,1886
2025-08-13,CompX,Widget E,1,16
2025-01-23,CompZ,Widget A,25,600
2025-12-27,CompZ,Widget E,32,1216
2025-11-20,CompZ,Widget D,30,510
2025-11-05,CompX,Widget E,46,1564
2025-02-16,CompY,Widget B,26,910
2025-03-08,CompY,Widget D,23,943
2025-05-06,CompY,Widget C,43,1075
2025-05-16,CompX,Widget D,28,616
2025-07-23,CompZ,Widget C,27,567
2025-06-18,CompZ,Widget E,19,266
2025-11-23,CompX,Widget B,3,33
2025-03-07,CompZ,Widget B,33,594
2025-01-21,CompY,Widget C,10,420
2025-03-15,CompZ,Widget A,27,1026
2025-05-31,CompY,Widget D,27,1107
2025-12-28,CompY,Widget A,37,1258
2025-07-13,CompZ,Widget D,5,160
2025-05-08,CompY,Widget C,46,1012
2025-10-18,CompZ,Widget E,43,1376
2025-06-13,CompX,Widget E,5,145
2025-02-03,CompZ,Widget D,46,1104
2025-01-14,CompX,Widget E,2,92
2025-11-14,CompZ,Widget E,49,2254
2025-09-26,CompX,Widget C,31,1395
2025-04-11,CompY,Widget A,50,900
2025-10-18,CompZ,Widget E,24,600
2025-02-26,CompX,Widget D,5,190
2025-02-12,CompZ,Widget C,40,880
2025-01-30,CompY,Widget E,18,432
2025-06-17,CompX,Widget E,7,280
2025-01-16,CompX,Widget D,16,176
2025-07-31,CompX,Widget C,17,748
2025-10-21,CompX,Widget D,37,962
2025-02-09,CompX,Widget D,15,225
2025-07-07,CompX,Widget E,17,612
2025-08-20,CompX,Widget A,1,29
2025-12-23,CompY,Widget D,20,240
2025-08-17,CompY,Widget A,8,312
2025-01-19,CompX,Widget E,15,630
2025-01-20,CompX,Widget E,40,1080
2025-08-28,CompY,Widget A,10,460
2025-12-01,CompX,Widget A,9,261
2025-07-29,CompZ,Widget B,23,598
2025-11-01,CompX,Widget A,16,736
2025-12-21,CompZ,Widget D,3,81
2025-04-22,CompX,Widget A,7,147
2025-06-07,CompZ,Widget D,22,858
2025-12-05,CompY,Widget E,35,455
2025-11-12,CompY,Widget D,40,1840
2025-10-01,CompX,Widget A,50,850
2025-06-07,CompX,Widget E,35,1365
2025-09-22,CompY,Widget E,41,820
2025-04-07,CompZ,Widget C,25,675
2025-06-18,CompZ,Widget A,38,1102
2025-05-08,CompY,Widget D,3,81
2025-04-17,CompX,Widget E,1,18
2025-07-10,CompX,Widget B,40,1280
2025-07-07,CompZ,Widget C,11,396
2025-04-06,CompY,Widget C,20,400
2025-02-15,CompZ,Widget E,43,1247
2025-07-12,CompX,Widget B,38,950
2025-09-28,CompZ,Widget E,33,1386
2025-10-10,CompY,Widget B,36,1512
2025-06-19,CompY,Widget C,42,1764
2025-07-02,CompY,Widget D,30,1110
2025-12-12,CompY,Widget E,48,768
2025-04-10,CompX,Widget B,1,39
2025-01-08,CompY,Widget D,7,98
2025-01-13,CompZ,Widget C,22,1056
2025-05-28,CompZ,Widget A,45,765
2025-04-11,CompX,Widget D,1,47
2025-05-04,CompY,Widget E,36,432
2025-12-05,CompZ,Widget C,50,1400
2025-01-01,CompX,Widget E,18,594
2025-06-28,CompY,Widget D,9,306
2025-07-14,CompY,Widget C,4,100
2025-11-24,CompZ,Widget E,2,92
2025-10-11,CompZ,Widget E,12,432
2025-09-09,CompY,Widget B,34,952
2025-01-10,CompX,Widget D,1,21
2025-04-04,CompZ,Widget D,1,36
